Time	Slope
09-11-2023 17:00	-3.06682
09-11-2023 17:01	--
09-11-2023 17:02	--
09-11-2023 17:03	--
09-11-2023 17:04	--
09-11-2023 17:05	--
09-11-2023 17:06	--
09-11-2023 17:07	--
09-11-2023 17:08	--
09-11-2023 17:09	--
09-11-2023 17:10	--
09-11-2023 17:11	--
09-11-2023 17:12	--
09-11-2023 17:13	--
09-11-2023 17:14	--
09-11-2023 17:15	3.21666
09-11-2023 17:16	--
09-11-2023 17:17	8.78153
09-11-2023 17:18	--
09-11-2023 17:19	13.62779
09-11-2023 17:20	17.75544
09-11-2023 17:21	21.16447
09-11-2023 17:22	--
09-11-2023 17:23	23.8549
09-11-2023 17:24	--
09-11-2023 17:25	25.82671
09-11-2023 17:26	27.0799
09-11-2023 17:27	27.61449
09-11-2023 17:28	27.43046
09-11-2023 17:29	25.56899
09-11-2023 17:30	--
09-11-2023 17:31	22.74395
09-11-2023 17:32	18.94783
09-11-2023 17:33	14.16524
09-11-2023 17:34	--
09-11-2023 17:35	--
09-11-2023 17:36	--
09-11-2023 17:37	8.40399
09-11-2023 17:38	--
09-11-2023 17:39	1.6629
09-11-2023 17:40	-6.05361
09-11-2023 17:41	-14.74761
09-11-2023 17:42	-24.42355
09-11-2023 17:43	-13.76708
09-11-2023 17:44	9.43062
09-11-2023 17:45	21.01122
09-11-2023 17:46	24.27553
09-11-2023 17:47	8.29577
09-11-2023 17:48	-11.15253
09-11-2023 17:49	-7.82799
09-11-2023 17:50	-0.08935
09-11-2023 17:51	-0.00412
09-11-2023 17:52	-0.0192
09-11-2023 17:53	-0.01442
09-11-2023 17:54	-0.01244
09-11-2023 17:55	-0.00975
09-11-2023 17:56	-0.00769
09-11-2023 17:57	-0.0074
09-11-2023 17:58	-0.00512
09-11-2023 17:59	-0.00481
09-11-2023 18:00	-9.15E-04
09-11-2023 18:01	7.19E-04
09-11-2023 18:02	0.00152
09-11-2023 18:03	0.00682
09-11-2023 18:04	0.00884
09-11-2023 18:05	0.00732
09-11-2023 18:06	0.00847
09-11-2023 18:07	0.01194
09-11-2023 18:08	0.01734
09-11-2023 18:09	0.0162
09-11-2023 18:10	0.00294
09-11-2023 18:11	-0.0075
09-11-2023 18:12	-0.02104
09-11-2023 18:13	3.51E-04
09-11-2023 18:14	-0.00161
09-11-2023 18:15	-0.0037
09-11-2023 18:16	-0.00235
09-11-2023 18:17	3.27E-05
09-11-2023 18:18	0.00631
09-11-2023 18:19	0.00163
09-11-2023 18:20	-0.00441
09-11-2023 18:21	-0.00418
09-11-2023 18:22	-0.00208
09-11-2023 18:23	7.04E-04
09-11-2023 18:24	0.01086
09-11-2023 18:25	0.00539
09-11-2023 18:26	0.00275
09-11-2023 18:27	4.89E-04
09-11-2023 18:28	-0.01742
09-11-2023 18:29	-0.01718
09-11-2023 18:30	-0.00478
09-11-2023 18:31	-0.02332
09-11-2023 18:32	-0.01843
09-11-2023 18:33	-0.00132
09-11-2023 18:34	-0.01569
09-11-2023 18:35	-0.01025
09-11-2023 18:36	0.00702
09-11-2023 18:37	-0.00364
09-11-2023 18:38	5.07E-05
09-11-2023 18:39	-0.00662
09-11-2023 18:39	0.00309
09-11-2023 18:40	0.024
09-11-2023 18:41	0.00112
09-11-2023 18:42	-0.04008
09-11-2023 18:43	-0.07535
09-11-2023 18:44	-0.05847
09-11-2023 18:45	0.02527
09-11-2023 18:46	0.07458
09-11-2023 18:47	0.14612
09-11-2023 18:48	0.21199
09-11-2023 18:49	0.22943
09-11-2023 18:50	0.1529
09-11-2023 18:51	0.09054
09-11-2023 18:52	0.18773
09-11-2023 18:53	0.24271
09-11-2023 18:54	0.25063
09-11-2023 18:55	0.29085
09-11-2023 18:56	0.28239
09-11-2023 18:57	0.33418
09-11-2023 18:58	0.38499
09-11-2023 18:59	0.43976
09-11-2023 19:00	0.53066
09-11-2023 19:01	0.58602
09-11-2023 19:02	0.6323
09-11-2023 19:03	0.74006
09-11-2023 19:04	0.9332
09-11-2023 19:05	1.07823
09-11-2023 19:06	1.22347
09-11-2023 19:07	1.30435
09-11-2023 19:08	1.25064
09-11-2023 19:09	1.23921
09-11-2023 19:10	1.25324
09-11-2023 19:11	1.31274
09-11-2023 19:12	1.44157
09-11-2023 19:13	1.45424
09-11-2023 19:14	1.38373
09-11-2023 19:15	1.41015
09-11-2023 19:16	1.40927
09-11-2023 19:17	1.41876
09-11-2023 19:18	1.45522
09-11-2023 19:19	1.44758
09-11-2023 19:20	1.92962
09-11-2023 19:21	1.65657
09-11-2023 19:22	0.91514
09-11-2023 19:23	0.98879
09-11-2023 19:24	1.06209
09-11-2023 19:25	1.07439
09-11-2023 19:26	1.16654
09-11-2023 19:27	1.1473
09-11-2023 19:28	1.09507
09-11-2023 19:29	1.15521
09-11-2023 19:30	1.24831
09-11-2023 19:31	1.31288
09-11-2023 19:32	1.37624
09-11-2023 19:33	1.47361
09-11-2023 19:34	1.48994
09-11-2023 19:35	1.51446
09-11-2023 19:36	1.48552
09-11-2023 19:37	1.39339
09-11-2023 19:38	1.32974
09-11-2023 19:39	1.22248
09-11-2023 19:40	1.13272
09-11-2023 19:41	0.28101
09-11-2023 19:42	-0.15715
09-11-2023 19:43	0.14953
09-11-2023 19:44	-0.02584
09-11-2023 19:45	-0.17234
09-11-2023 19:46	-0.26168
09-11-2023 19:47	-0.39964
09-11-2023 19:48	-0.52283
09-11-2023 19:49	-0.53767
09-11-2023 19:50	-0.48383
09-11-2023 19:51	-0.44343
09-11-2023 19:52	-0.41385
09-11-2023 19:53	-0.36204
09-11-2023 19:54	-0.35465
09-11-2023 19:55	-0.36021
09-11-2023 19:56	-0.34568
09-11-2023 19:57	-0.33258
09-11-2023 19:58	-0.30671
09-11-2023 19:59	-0.29112
09-11-2023 20:00	-0.31663
09-11-2023 20:01	-0.33116
09-11-2023 20:02	-0.31392
09-11-2023 20:03	-0.32027
09-11-2023 20:04	-0.33879
09-11-2023 20:05	-0.35864
09-11-2023 20:06	-0.36634
09-11-2023 20:07	-0.35911
09-11-2023 20:08	-0.36278
09-11-2023 20:09	-0.36037
09-11-2023 20:10	-0.3547
09-11-2023 20:11	-0.35627
09-11-2023 20:12	-0.35388
09-11-2023 20:13	-0.3435
09-11-2023 20:14	-0.35268
09-11-2023 20:15	-0.36922
09-11-2023 20:16	-0.34799
09-11-2023 20:17	-0.32136
09-11-2023 20:18	-0.33254
09-11-2023 20:19	-0.33666
09-11-2023 20:20	-0.34264
09-11-2023 20:21	-0.33338
09-11-2023 20:22	-0.31702
09-11-2023 20:23	-0.33306
09-11-2023 20:24	-0.35222
09-11-2023 20:25	-0.36845
09-11-2023 20:26	-0.35574
09-11-2023 20:27	-0.34913
09-11-2023 20:28	-0.36968
09-11-2023 20:29	-0.3909
09-11-2023 20:30	-0.3993
09-11-2023 20:31	-0.42628
09-11-2023 20:32	-0.44223
09-11-2023 20:33	-0.44853
09-11-2023 20:34	-0.45352
09-11-2023 20:35	-0.43942
09-11-2023 20:36	-0.40983
09-11-2023 20:37	-0.37932
09-11-2023 20:38	-0.37479
09-11-2023 20:39	-0.37063
09-11-2023 20:40	-0.37332
09-11-2023 20:41	-0.37174
09-11-2023 20:42	-0.36211
09-11-2023 20:43	-0.35943
09-11-2023 20:44	-0.36754
09-11-2023 20:45	-0.38344
09-11-2023 20:46	-0.39428
09-11-2023 20:47	-0.3775
09-11-2023 20:48	-0.37403
09-11-2023 20:49	-0.39268
09-11-2023 20:50	-0.40648
09-11-2023 20:51	-0.41213
09-11-2023 20:52	-0.37742
09-11-2023 20:53	-0.35991
09-11-2023 20:54	-0.34783
09-11-2023 20:55	-0.32901
09-11-2023 20:56	-0.32065
